,Type,Location,Price,Bedroom,Bathrooms,Toilet
450,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,No Info,No Info,No Info
451,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
452,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
453,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
454,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,No Info,No Info,No Info
455,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
456,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
457,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
458,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,No Info,No Info,No Info
459,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
460,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
461,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
462,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,No Info,No Info,No Info
463,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
464,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
465,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
466,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,No Info,No Info,No Info
467,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
468,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
469,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
470,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
471,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
472,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
473,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
474,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
475,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
476,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
477,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
478,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
479,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
480,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
481,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
482,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
483,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
484,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
485,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
486,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
487,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
488,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
489,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
490,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
491,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
492,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
493,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
494,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
495,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
496,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
497,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
498,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
499,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
500,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
501,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
502,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
503,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
504,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
