,Type,Location,Price,Bedroom,Bathrooms,Toilet
153,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
154,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
155,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
156,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
157,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,2,1,1
158,2 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",75000,2,2,3
159,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,2,1,1
160,2 bedroom flat / apartment for sale,"Lekki Phase 2, Lekki, Lagos",100000000,2,2,3
161,2 bedroom flat / apartment for sale,"Lekki Phase 2, Lekki, Lagos",100000000,2,2,3
162,2 bedroom flat / apartment for sale,"Lekki Phase 2, Lekki, Lagos",100000000,2,2,3
163,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
164,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
165,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
166,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
167,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
168,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
169,2 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",75000,2,2,3
170,3 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",85000,3,3,3
171,2 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",75000,2,2,3
172,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
173,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
174,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
175,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,2,1,1
176,2 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",75000,2,2,3
177,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
178,2 bedroom flat / apartment for sale,"Ilasan, Lekki, Lagos",80000000,2,2,3
179,2 bedroom flat / apartment for sale,"Ilasan, Lekki, Lagos",80000000,2,2,3
180,2 bedroom flat / apartment for sale,"Ilasan, Lekki, Lagos",80000000,2,2,3
181,2 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",75000,2,2,3
182,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
183,3 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",85000,3,3,3
184,1 bedroom mini flat (room and parlour) for rent,"Chevron Toll Gate, Lekki Phase 2, Lekki, Lagos",2300000,1,1,2
185,1 bedroom mini flat (room and parlour) for rent,"Chevron Toll Gate, Lekki Phase 2, Lekki, Lagos",2300000,1,1,2
186,1 bedroom mini flat (room and parlour) for rent,"Chevron Toll Gate, Lekki Phase 2, Lekki, Lagos",2300000,1,1,2
187,Self contain (single rooms) for rent,"John Okafor Estate, Agungi, Lekki, Lagos",1600000,No Info,No Info,No Info
188,Self contain (single rooms) for rent,"John Okafor Estate, Agungi, Lekki, Lagos",1600000,No Info,No Info,No Info
189,Self contain (single rooms) for rent,"John Okafor Estate, Agungi, Lekki, Lagos",1600000,No Info,No Info,No Info
190,Self contain (single rooms) for rent,"John Okafor Estate, Agungi, Lekki, Lagos",1600000,No Info,No Info,No Info
191,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
192,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
193,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
194,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
195,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
196,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
197,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
198,3 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",85000,3,3,3
199,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,2,1,1
200,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
201,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
202,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
203,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
204,3 bedroom flat / apartment for rent,"Alpha Bay Estates. Alpha Beach Road. Lekki, Lekki, Lagos",2500000,3,3,3
205,3 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",85000,3,3,3
206,2 bedroom flat / apartment for sale,"Lekki Phase 2, Lekki, Lagos",100000000,2,2,3
207,2 bedroom flat / apartment for sale,"Lekki Phase 2, Lekki, Lagos",100000000,2,2,3
208,2 bedroom flat / apartment for sale,"Lekki Phase 2, Lekki, Lagos",100000000,2,2,3
209,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
210,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
211,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
212,Self contain (single rooms) for rent,"John Okafor Estate, Agungi, Lekki, Lagos",1600000,No Info,No Info,No Info
213,Self contain (single rooms) for rent,"John Okafor Estate, Agungi, Lekki, Lagos",1600000,No Info,No Info,No Info
214,Self contain (single rooms) for rent,"John Okafor Estate, Agungi, Lekki, Lagos",1600000,No Info,No Info,No Info
215,Self contain (single rooms) for rent,"John Okafor Estate, Agungi, Lekki, Lagos",1600000,No Info,No Info,No Info
216,Self contain (single rooms) for rent,"John Okafor Estate, Agungi, Lekki, Lagos",1600000,No Info,No Info,No Info
217,Self contain (single rooms) for rent,"John Okafor Estate, Agungi, Lekki, Lagos",1600000,No Info,No Info,No Info
218,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
219,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
220,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
221,3 bedroom flat / apartment for rent,"Conservation Road, Lekki Expressway, Lekki, Lagos",2500000,3,3,4
222,3 bedroom flat / apartment for rent,"Conservation Road, Lekki Expressway, Lekki, Lagos",2500000,3,3,4
223,3 bedroom flat / apartment for rent,"Conservation Road, Lekki Expressway, Lekki, Lagos",2500000,3,3,4
224,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
