,Type,Location,Price,Bedroom,Bathrooms,Toilet
57,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,1,3,4
58,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,1,3,4
59,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,1,3,4
60,Self contain (single rooms) for rent,"Victoria Island (VI), Lagos",1500000,No Info,No Info,No Info
61,Self contain (single rooms) for rent,"Victoria Island (VI), Lagos",1500000,No Info,No Info,No Info
62,Self contain (single rooms) for rent,"Victoria Island (VI), Lagos",1500000,No Info,No Info,No Info
63,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
64,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
65,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
66,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
67,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
68,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
69,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
70,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
71,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
72,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
73,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
74,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
75,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
76,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
77,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
78,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
79,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
80,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
81,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,1,3,4
82,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,1,3,4
83,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,1,3,4
84,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
85,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
86,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
87,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,1,3,4
88,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,1,3,4
89,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,1,3,4
90,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
91,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
92,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
93,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
94,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
95,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
96,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
97,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
98,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
99,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,1,3,4
100,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,1,3,4
101,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,No Info,No Info,No Info
102,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,1,3,4
103,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,1,3,4
104,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,1,3,4
105,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,1,3,4
106,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,1,3,4
107,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,1,3,4
108,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,1,3,4
109,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
110,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
111,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
112,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
113,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
114,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
115,Self contain (single rooms) for rent,"Victoria Island (VI), Lagos",1500000,No Info,No Info,No Info
116,Self contain (single rooms) for rent,"Victoria Island (VI), Lagos",1500000,No Info,No Info,No Info
117,Self contain (single rooms) for rent,"Victoria Island (VI), Lagos",1500000,No Info,No Info,No Info
118,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
119,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
120,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
