,Type,Location,Price,Bedroom,Bathrooms,Toilet
114,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
115,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
116,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
117,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
118,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
119,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
120,1 bedroom mini flat (room and parlour) for rent,"Toyin, Iju-Ishaga, Agege, Lagos",400000,1,1,1
121,1 bedroom mini flat (room and parlour) for rent,"Toyin, Iju-Ishaga, Agege, Lagos",400000,1,1,1
122,1 bedroom mini flat (room and parlour) for rent,"Toyin, Iju-Ishaga, Agege, Lagos",400000,1,1,1
123,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
124,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
125,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
126,3 bedroom flat / apartment for rent,"Oko-oba, Agege, Lagos",2000000,3,3,4
127,3 bedroom flat / apartment for rent,"Oko-oba, Agege, Lagos",2000000,3,3,4
128,3 bedroom flat / apartment for rent,"Oko-oba, Agege, Lagos",2000000,3,3,4
129,1 bedroom mini flat (room and parlour) for rent,"Suberu Oje Off Meiran, Abule Egba, Agege, Lagos",200000,1,1,1
130,1 bedroom mini flat (room and parlour) for rent,"Suberu Oje Off Meiran, Abule Egba, Agege, Lagos",200000,1,1,1
131,1 bedroom mini flat (room and parlour) for rent,"Suberu Oje Off Meiran, Abule Egba, Agege, Lagos",200000,1,1,1
132,1 bedroom mini flat (room and parlour) for rent,"New Oko-Oba, Agege, Lagos",400000,1,1,2
133,1 bedroom mini flat (room and parlour) for rent,"New Oko-Oba, Agege, Lagos",400000,1,1,2
134,1 bedroom mini flat (room and parlour) for rent,"New Oko-Oba, Agege, Lagos",400000,1,1,2
135,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
136,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
137,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
138,3 bedroom flat / apartment for rent,"Oko-oba, Agege, Lagos",2000000,3,3,4
139,3 bedroom flat / apartment for rent,"Oko-oba, Agege, Lagos",2000000,3,3,4
140,3 bedroom flat / apartment for rent,"Oko-oba, Agege, Lagos",2000000,3,3,4
141,2 bedroom flat / apartment for rent,"Off Pipeline Road, Fagba, Agege, Lagos",800000,2,2,2
142,2 bedroom flat / apartment for rent,"Off Pipeline Road, Fagba, Agege, Lagos",800000,2,2,2
143,2 bedroom flat / apartment for rent,"Off Pipeline Road, Fagba, Agege, Lagos",800000,2,2,2
144,1 bedroom mini flat (room and parlour) for rent,"Suberu Oje Off Meiran, Abule Egba, Agege, Lagos",200000,1,1,1
145,1 bedroom mini flat (room and parlour) for rent,"Suberu Oje Off Meiran, Abule Egba, Agege, Lagos",200000,1,1,1
146,1 bedroom mini flat (room and parlour) for rent,"Suberu Oje Off Meiran, Abule Egba, Agege, Lagos",200000,1,1,1
147,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
148,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
149,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
150,1 bedroom mini flat (room and parlour) for rent,"Toyin, Iju-Ishaga, Agege, Lagos",400000,1,1,1
151,1 bedroom mini flat (room and parlour) for rent,"Toyin, Iju-Ishaga, Agege, Lagos",400000,1,1,1
152,1 bedroom mini flat (room and parlour) for rent,"Toyin, Iju-Ishaga, Agege, Lagos",400000,1,1,1
153,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
154,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
155,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
156,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
157,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
158,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
