,Type,Location,Price,Bedroom,Bathrooms,Toilet
149,2 bedroom flat / apartment short let,"Wemco Road, By Domino Pizza, Agidingbi, Ikeja, Lagos",50000,2,2,3
150,2 bedroom flat / apartment short let,"Wemco Road, By Domino Pizza, Agidingbi, Ikeja, Lagos",50000,2,2,3
151,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
152,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
153,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
154,1 bedroom mini flat (room and parlour) short let,"Oremeta, Oregun, Ikeja, Lagos",45000,1,1,2
155,1 bedroom mini flat (room and parlour) short let,"Oremeta, Oregun, Ikeja, Lagos",45000,1,1,2
156,1 bedroom mini flat (room and parlour) short let,"Oremeta, Oregun, Ikeja, Lagos",45000,1,1,2
157,1 bedroom mini flat (room and parlour) for rent,"Adeniyi Jones, Ikeja, Lagos",1600000,1,1,1
158,1 bedroom mini flat (room and parlour) for rent,"Adeniyi Jones, Ikeja, Lagos",1600000,1,1,1
159,1 bedroom mini flat (room and parlour) for rent,"Adeniyi Jones, Ikeja, Lagos",1600000,1,1,1
160,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
161,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
162,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
163,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
164,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
165,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
166,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
167,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
168,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
169,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
170,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
171,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
172,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
173,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
174,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
175,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
176,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
177,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
178,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
179,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
180,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
181,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
182,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
183,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
184,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
185,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
186,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
187,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
188,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
189,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
190,5 bedroom flat / apartment for rent,"Omole Phase 2, Ikeja, Lagos",12000000,5,5,6
191,5 bedroom flat / apartment for rent,"Omole Phase 2, Ikeja, Lagos",12000000,5,5,6
192,5 bedroom flat / apartment for rent,"Omole Phase 2, Ikeja, Lagos",12000000,5,5,6
193,5 bedroom flat / apartment for rent,"Omole Phase 2, Ikeja, Lagos",12000000,5,5,6
194,5 bedroom flat / apartment for rent,"Omole Phase 2, Ikeja, Lagos",12000000,5,5,6
195,5 bedroom flat / apartment for rent,"Omole Phase 2, Ikeja, Lagos",12000000,5,5,6
196,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
197,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
198,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
199,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
200,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
201,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
202,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
203,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
204,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
205,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
206,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
207,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
208,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
209,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
210,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
211,1 bedroom mini flat (room and parlour) short let,"Oremeta, Oregun, Ikeja, Lagos",45000,1,1,2
212,1 bedroom mini flat (room and parlour) short let,"Oremeta, Oregun, Ikeja, Lagos",45000,1,1,2
213,1 bedroom mini flat (room and parlour) short let,"Oremeta, Oregun, Ikeja, Lagos",45000,1,1,2
214,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
215,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
216,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
217,3 bedroom flat / apartment for sale,"Merit Estate, Adeniyi Jones, Ikeja, Lagos",180000000,3,3,4
218,3 bedroom flat / apartment for sale,"Merit Estate, Adeniyi Jones, Ikeja, Lagos",180000000,3,3,4
219,3 bedroom flat / apartment for sale,"Merit Estate, Adeniyi Jones, Ikeja, Lagos",180000000,3,3,4
220,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
221,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
222,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
223,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
224,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
225,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
226,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
227,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
228,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
229,1 bedroom mini flat (room and parlour) for rent,"Off College Road, Ogba, Ikeja, Lagos",750000,1,1,2
230,1 bedroom mini flat (room and parlour) for rent,"Off College Road, Ogba, Ikeja, Lagos",750000,1,1,2
231,1 bedroom mini flat (room and parlour) for rent,"Off College Road, Ogba, Ikeja, Lagos",750000,1,1,2
232,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
233,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
234,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
235,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
236,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
237,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
238,5 bedroom flat / apartment for rent,"Omole Phase 2, Ikeja, Lagos",12000000,5,5,6
239,5 bedroom flat / apartment for rent,"Omole Phase 2, Ikeja, Lagos",12000000,5,5,6
240,5 bedroom flat / apartment for rent,"Omole Phase 2, Ikeja, Lagos",12000000,5,5,6
241,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
242,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
243,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
244,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
245,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
246,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
247,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
248,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
249,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
250,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
251,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
252,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
253,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
254,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
255,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
256,1 bedroom mini flat (room and parlour) for rent,"Off College Road, Ogba, Ikeja, Lagos",750000,1,1,2
257,1 bedroom mini flat (room and parlour) for rent,"Off College Road, Ogba, Ikeja, Lagos",750000,1,1,2
258,1 bedroom mini flat (room and parlour) for rent,"Off College Road, Ogba, Ikeja, Lagos",750000,1,1,2
259,3 bedroom flat / apartment for sale,"Merit Estate, Adeniyi Jones, Ikeja, Lagos",180000000,3,3,4
260,3 bedroom flat / apartment for sale,"Merit Estate, Adeniyi Jones, Ikeja, Lagos",180000000,3,3,4
261,3 bedroom flat / apartment for sale,"Merit Estate, Adeniyi Jones, Ikeja, Lagos",180000000,3,3,4
262,Self contain (single rooms) for rent,"Agidingbi, Ikeja, Lagos",1800000,No Info,No Info,No Info
263,Self contain (single rooms) for rent,"Agidingbi, Ikeja, Lagos",1800000,No Info,No Info,No Info
